V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
Casual,Average,NaN,free,Winter,v-neck,full,natural,NaN,chiffon,ruffles,print,1
vintage,Low,4.8,S,Summer,o-neck,short,natural,NaN,chiffon,ruffles,print,1
Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,2
fashion,Average,4,free,Summer,open,full,NaN,cotton,NaN,sequined,solid,1
Casual,Average,4.7,L,Summer,v-neck,short,natural,NaN,NaN,NaN,print,2
Casual,Low,NaN,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,NaN,patchwork,2
bohemian,Low,4.8,free,Summer,o-neck,short,NaN,NaN,NaN,NaN,animal,2
work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,NaN,Tiered,solid,1
vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,NaN,button,solid,1
cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,2
Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,NaN,NaN,solid,2
Casual,Medium,NaN,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,2
Casual,Average,4.7,L,Automn,o-neck,halfsleeve,NaN,NaN,NaN,lace,NaN,1
Sexy,Average,NaN,L,Automn,v-neck,sleevless,empire,NaN,chiffon,NaN,patchwork,1
Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,NaN,solid,2
Casual,Average,NaN,M,Automn,o-neck,short,empire,polyster,NaN,applique,print,1
cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,NaN,chiffon,hollowout,solid,1
party,Average,5,M,Spring,o-neck,halfsleeve,natural,NaN,NaN,NaN,NaN,2
cute,Average,4.3,L,Winter,o-neck,sleevless,natural,NaN,chiffon,NaN,solid,1
Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,NaN,patchwork,1
Casual,Low,4.7,L,Automn,o-neck,full,NaN,cotton,chiffon,lace,print,1
Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,1
sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,2
work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,1
vintage,Average,NaN,free,Summer,o-neck,sleevless,NaN,NaN,NaN,NaN,NaN,1
Sexy,Low,4.6,free,Spring,o-neck,full,natural,NaN,NaN,lace,leopard,2
Sexy,Low,NaN,free,Winter,v-neck,sleevless,empire,cotton,chiffon,NaN,solid,2
work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,NaN,patchwork,1
Casual,Average,4.4,M,Summer,o-neck,short,empire,NaN,NaN,lace,patchwork,1
cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,1
Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,1
party,Average,4.4,free,Automn,v-neck,threequarter,natural,NaN,NaN,NaN,solid,1
Casual,Average,NaN,free,Spring,o-neck,short,NaN,cotton,NaN,lace,NaN,2
Casual,Low,NaN,M,Summer,v-neck,full,natural,acrylic,NaN,lace,solid,1
Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,NaN,NaN,patchwork,2
work,Average,4.6,M,Spring,v-neck,full,NaN,NaN,chiffon,NaN,NaN,1
cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,NaN,lace,solid,1
bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,NaN,chiffon,NaN,solid,1
cute,High,NaN,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,1
Casual,Average,NaN,XL,Winter,o-neck,short,empire,polyster,NaN,button,solid,1
Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,NaN,print,2
Casual,Low,4.7,M,Automn,o-neck,full,NaN,cotton,NaN,NaN,solid,1
cute,Average,4.3,free,Summer,boat-neck,sleevless,NaN,NaN,NaN,NaN,NaN,2
Sexy,Low,NaN,free,Automn,slash-neck,short,empire,NaN,NaN,hollowout,solid,1
cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,1
Sexy,low,4.5,L,Spring,o-neck,sleevless,NaN,NaN,NaN,lace,solid,1
Casual,Average,4.7,M,Automn,o-neck,sleevless,NaN,cotton,NaN,NaN,animal,2
Casual,Average,NaN,L,Spring,boat-neck,sleevless,natural,cotton,NaN,lace,solid,2
cute,low,4.7,free,Summer,o-neck,sleevless,NaN,NaN,chiffon,NaN,print,2
Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,NaN,NaN,solid,1
Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,NaN,ruffles,solid,1
vintage,Average,4.3,free,winter,o-neck,short,NaN,chiffonfabric,chiffon,NaN,print,1
cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,2
Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,NaN,solid,1
vintage,Medium,NaN,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,NaN,plaid,1
Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,NaN,NaN,solid,2
vintage,High,NaN,L,Summer,o-neck,short,natural,cotton,NaN,NaN,print,1
Casual,low,NaN,free,Spring,v-neck,threequarter,NaN,silk,NaN,lace,NaN,2
Sexy,Average,NaN,S,Automn,slash-neck,short,natural,NaN,NaN,lace,solid,1
Casual,Low,NaN,free,Spring,o-neck,short,natural,NaN,NaN,hollowout,solid,1
cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,NaN,lace,solid,2
Casual,Low,4.7,free,Summer,o-neck,sleevless,NaN,NaN,NaN,NaN,print,1
Sexy,Low,4.8,free,Spring,v-neck,sleevless,NaN,NaN,NaN,sequined,solid,2
Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,NaN,bow,patchwork,1
vintage,Average,NaN,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,1
Casual,Average,3.7,free,Automn,boat-neck,full,NaN,NaN,NaN,NaN,solid,2
vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,NaN,NaN,patchwork,1
cute,Average,NaN,XL,Spring,boat-neck,full,NaN,cotton,worsted,applique,dot,2
Casual,Average,NaN,L,Winter,open,short,natural,mix,poplin,applique,solid,2
sexy,Medium,5,M,Winter,o-neck,sleevless,empire,polyster,NaN,bow,solid,1
Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,NaN,NaN,NaN,solid,1
Casual,High,4.9,S,Spring,o-neck,threequarter,natural,NaN,NaN,NaN,dot,2
Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,NaN,sashes,solid,1
Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,1
Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,1
Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,1
Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,NaN,chiffon,button,striped,1
work,Average,NaN,S,Automn,o-neck,sleevless,natural,linen,NaN,NaN,patchwork,1
Casual,Low,NaN,L,Winter,o-neck,sleevless,empire,polyster,NaN,NaN,leopard,1
cute,low,5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,1
Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,2
Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,NaN,NaN,leopard,1
cute,low,NaN,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,1
Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,NaN,NaN,solid,2
Sexy,low,4.7,M,Winter,slash-neck,sleevless,NaN,nylon,NaN,sashes,solid,2
Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,NaN,floral,1
Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,1
Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,2
bohemian,Average,NaN,L,Winter,turndowncollor,full,natural,mix,NaN,NaN,solid,1
Casual,Low,NaN,free,NaN,o-neck,full,natural,cotton,NaN,NaN,patchwork,1
cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
Sexy,Average,NaN,S,Automn,v-neck,sleevless,empire,cotton,NaN,beading,solid,1
Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,NaN,NaN,solid,2
vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,NaN,lace,solid,2
work,low,4.7,free,Summer,o-neck,full,empire,cotton,NaN,NaN,solid,1
cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,NaN,rivet,solid,1
cute,Average,NaN,M,Summer,o-neck,short,natural,cotton,chiffon,NaN,print,1
Casual,Average,4.7,M,winter,o-neck,full,NaN,NaN,NaN,NaN,animal,1
Casual,low,4.6,free,winter,o-neck,full,natural,polyster,NaN,applique,solid,2
party,Average,5,free,Summer,v-neck,sleevless,NaN,NaN,NaN,NaN,NaN,1
Casual,Average,NaN,free,Summer,v-neck,sleevless,natural,cotton,chiffon,NaN,patchwork,1
Sexy,Average,5,L,winter,o-neck,threequarter,natural,polyster,NaN,lace,geometric,1
Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,NaN,embroidary,solid,1
Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,NaN,NaN,dot,1
Casual,Average,4.1,M,Automn,v-neck,full,NaN,NaN,chiffon,sashes,NaN,2
Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,NaN,NaN,1
Sexy,Average,5,M,Summer,v-neck,sleevless,empire,cotton,NaN,sequined,solid,2
work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,NaN,NaN,solid,1
Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,NaN,NaN,NaN,NaN,NaN,1
vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,NaN,worsted,NaN,solid,1
Casual,Average,NaN,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,NaN,solid,2
cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,NaN,print,1
bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,NaN,sashes,print,1
Casual,low,5,free,Spring,slash-neck,sleevless,empire,spandex,NaN,NaN,striped,2
Casual,Average,5,M,Winter,o-neck,sleevless,natural,NaN,chiffon,sashes,solid,2
Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,NaN,striped,1
work,low,4.5,M,Winter,v-neck,threequarter,NaN,NaN,NaN,NaN,patchwork,1
Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,NaN,lace,patchwork,2
Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,NaN,dobby,lace,animal,1
sexy,Low,4.3,M,Automn,open,short,natural,lace,NaN,lace,print,1
Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,2
Casual,low,4.6,L,Winter,o-neck,full,NaN,cotton,NaN,NaN,NaN,1
Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,NaN,chiffon,sashes,solid,2
Casual,low,NaN,free,Automn,peterpan-collor,threequarter,empire,NaN,NaN,NaN,NaN,1
Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,NaN,chiffon,NaN,NaN,2
Casual,Average,NaN,S,Summer,o-neck,sleevless,empire,cotton,NaN,NaN,solid,1
Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,NaN,NaN,print,2
Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,NaN,plaid,1
Sexy,very-high,NaN,free,Winter,v-neck,sleevless,natural,polyster,knitting,NaN,solid,1
Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,NaN,sashes,print,1
Casual,Average,4.8,M,Automn,v-neck,short,NaN,NaN,chiffon,embroidary,print,2
Casual,Average,5,free,Summer,v-neck,sleevless,NaN,modal,NaN,NaN,patchwork,1
Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,NaN,NaN,print,2
Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,NaN,striped,1
Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,NaN,NaN,1
Casual,low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,NaN,NaN,print,1
cute,Average,NaN,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,1
Casual,low,4.8,free,Spring,o-neck,sleevless,NaN,chiffonfabric,chiffon,NaN,print,2
Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,NaN,applique,dot,1
bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,NaN,chiffon,ruffles,solid,2
Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,NaN,sashes,print,2
Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,1
Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,NaN,NaN,solid,2
Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,1
Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,NaN,patchwork,1
Casual,Average,3.5,M,winter,v-neck,short,natural,NaN,NaN,NaN,solid,1
Casual,Average,4.8,M,winter,o-neck,threequarter,natural,NaN,NaN,NaN,print,2
Casual,Average,NaN,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,2
Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,NaN,sashes,striped,1
Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,NaN,broadcloth,NaN,print,2
Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,NaN,button,solid,1
Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,NaN,NaN,character,1
Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,NaN,solid,1
Casual,low,4.7,S,summer,o-neck,full,natural,cotton,NaN,NaN,patchwork,1
cute,Low,NaN,free,Summer,boat-neck,sleevless,NaN,cotton,NaN,NaN,print,1
party,very-high,5,M,Spring,slash-neck,sleevless,natural,chiffonfabric,chiffon,flowers,NaN,2
Casual,Average,4.9,M,Automn,v-neck,sleevless,NaN,polyster,NaN,NaN,NaN,2
party,very-high,NaN,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,NaN,1
party,very-high,NaN,M,Winter,v-neck,cap-sleeves,NaN,NaN,chiffon,lace,NaN,1
Casual,Low,4.4,M,Winter,v-neck,turndowncollor,NaN,cotton,NaN,NaN,NaN,2
party,very-high,NaN,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,NaN,2
party,high,NaN,M,Winter,Sweetheart,sleevless,natural,NaN,NaN,pearls,NaN,1
party,high,NaN,M,Spring,Sweetheart,sleevless,NaN,nylon,NaN,NaN,NaN,1
party,Average,5,M,Winter,o-neck,capsleeves,empire,polyster,NaN,lace,NaN,2
party,high,4.7,M,Winter,sweetheart,sleeveless,natural,NaN,chiffon,flowers,NaN,1
party,NaN,4.8,free,Winter,o-neck,sleevless,empire,NaN,NaN,embroidary,NaN,2
party,NaN,4.5,L,Summer,NaN,full,NaN,NaN,NaN,NaN,NaN,2
party,very-high,4.9,M,Spring,Sweetheart,sleeevless,empire,NaN,chiffon,beading,NaN,2
party,high,4.6,M,winter,Sweetheart,sleevless,natural,NaN,chiffon,NaN,NaN,1
party,Average,5,M,Spring,Sweetheart,sleevless,natural,polyster,NaN,NaN,NaN,2
party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,NaN,2
party,very-high,NaN,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,NaN,2
party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,NaN,1
party,Average,4.8,L,NaN,Sweetheart,sleevless,empire,NaN,NaN,pleat,NaN,2
party,Medium,4.6,S,Winter,Scoop,short,empire,NaN,NaN,crystal,NaN,1
party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,NaN,2
party,Medium,4.8,S,Spring,v-neck,sleevless,empire,NaN,NaN,NaN,NaN,2
party,very-high,4.2,L,Winter,v-neck,sleevless,NaN,NaN,NaN,lace,NaN,2
Casual,Low,4.4,free,Summer,o-neck,sleevless,NaN,NaN,NaN,NaN,NaN,2
party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,NaN,2
party,very-high,NaN,M,Winter,o-neck,full,natural,NaN,NaN,feathers,NaN,2
Casual,high,4.6,M,Summer,Sweetheart,sleevless,empire,NaN,NaN,beading,NaN,2
party,Average,4.7,free,Winter,o-neck,sleevless,NaN,polyster,NaN,NaN,NaN,1
party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,NaN,2
party,very-high,4.5,M,Spring,v-neck,cap-sleeves,NaN,NaN,NaN,lace,NaN,2
party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,2
party,high,4.8,M,Summer,Sweetheart,sleevless,princess,NaN,sattin,NaN,NaN,2
party,high,4.6,M,Summer,slash-neck,sleevless,natural,NaN,chiffon,NaN,NaN,2
party,Medium,4.7,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,NaN,2
cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,2
party,Average,5,M,Spring,o-neck,sleevless,NaN,NaN,NaN,NaN,NaN,2
party,very-high,4.8,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,NaN,2
party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,NaN,2
party,very-high,4.9,L,Spring,slash-neck,sleevless,NaN,NaN,chiffon,flowers,NaN,2
party,Medium,NaN,free,Winter,v-neck,short,empire,NaN,chiffon,lace,NaN,2
work,Average,5,free,Winter,o-neck,half,NaN,microfiber,NaN,NaN,NaN,1
party,very-high,4.9,M,Spring,v-neck,sleevless,empire,NaN,sattin,beading,NaN,2
Casual,high,5,free,Summer,v-neck,sleevless,natural,nylon,NaN,NaN,NaN,2
Casual,very-high,NaN,small,Spring,o-neck,full,NaN,NaN,chiffon,applique,NaN,1
Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,NaN,bow,NaN,2
party,Average,NaN,M,Spring,v-neck,sleevless,natural,NaN,NaN,NaN,NaN,2
Casual,Average,4.4,free,Summer,slash-neck,sleevless,empire,cotton,NaN,NaN,NaN,2
Casual,very-high,4.6,M,winter,o-neck,short,natural,NaN,NaN,flowers,NaN,2
